num_generations,population_size,initial_temp,min_mutation_rate,max_mutation_rate,initial_truncation_rate,min_truncation_rate,k,best_cost,mean_cost,max_cost,total_time
5000,100,100.0,0.05,0.3,0.7,0.1,0.05,1124.0,1125.52,1169.0,0.647
5000,500,100.0,0.05,0.3,0.7,0.1,0.05,1109.0,1110.862,1173.0,2.217
5000,1000,100.0,0.05,0.3,0.7,0.1,0.05,1127.0,1128.782,1199.0,3.696
100,100,100.0,0.1,0.3,0.7,0.1,0.05,2002.0,2155.47,2927.0,0.017
100,500,100.0,0.1,0.3,0.7,0.1,0.05,1924.0,2077.218,2822.0,0.047
100,1000,100.0,0.1,0.3,0.7,0.1,0.05,2084.0,2344.329,3067.0,0.077
500,100,100.0,0.1,0.3,0.7,0.1,0.05,1403.0,1427.24,1863.0,0.066
500,500,100.0,0.1,0.3,0.7,0.1,0.05,1325.0,1384.204,2093.0,0.223
500,1000,100.0,0.1,0.3,0.7,0.1,0.05,1295.0,1318.242,2037.0,0.374
1000,100,100.0,0.1,0.3,0.7,0.1,0.05,1220.0,1223.48,1287.0,0.128
1000,500,100.0,0.1,0.3,0.7,0.1,0.05,1136.0,1140.904,1217.0,0.434
1000,1000,100.0,0.1,0.3,0.7,0.1,0.05,1132.0,1143.756,2493.0,0.74
5000,100,100.0,0.1,0.3,0.7,0.1,0.05,1148.0,1152.42,1214.0,0.681
5000,500,100.0,0.1,0.3,0.7,0.1,0.05,1128.0,1131.388,1203.0,2.117
5000,1000,100.0,0.1,0.3,0.7,0.1,0.05,1135.0,1138.654,1209.0,3.487
100,100,100.0,0.01,0.3,0.7,0.1,0.1,2096.0,2204.87,2779.0,0.019
100,500,100.0,0.01,0.3,0.7,0.1,0.1,1957.0,2030.438,2795.0,0.047
100,1000,100.0,0.01,0.3,0.7,0.1,0.1,2026.0,2159.496,2740.0,0.086
500,100,100.0,0.01,0.3,0.7,0.1,0.1,1515.0,1515.0,1515.0,0.066
500,500,100.0,0.01,0.3,0.7,0.1,0.1,1373.0,1399.05,2385.0,0.223
500,1000,100.0,0.01,0.3,0.7,0.1,0.1,1304.0,1304.467,1371.0,0.36
1000,100,100.0,0.01,0.3,0.7,0.1,0.1,1429.0,1478.77,2339.0,0.156
1000,500,100.0,0.01,0.3,0.7,0.1,0.1,1240.0,1242.18,1298.0,0.427
1000,1000,100.0,0.01,0.3,0.7,0.1,0.1,1192.0,1200.545,2490.0,0.719
5000,100,100.0,0.01,0.3,0.7,0.1,0.1,1225.0,1225.68,1293.0,0.62
5000,500,100.0,0.01,0.3,0.7,0.1,0.1,1144.0,1144.434,1193.0,2.206
5000,1000,100.0,0.01,0.3,0.7,0.1,0.1,1162.0,1162.247,1221.0,3.498
100,100,100.0,0.05,0.3,0.7,0.1,0.1,2113.0,2207.4,2700.0,0.015
100,500,100.0,0.05,0.3,0.7,0.1,0.1,1982.0,2108.188,2809.0,0.046
100,1000,100.0,0.05,0.3,0.7,0.1,0.1,2084.0,2261.434,3019.0,0.087
500,100,100.0,0.05,0.3,0.7,0.1,0.1,1479.0,1479.16,1495.0,0.064
500,500,100.0,0.05,0.3,0.7,0.1,0.1,1329.0,1438.46,2664.0,0.22
500,1000,100.0,0.05,0.3,0.7,0.1,0.1,1270.0,1305.291,2979.0,0.352
1000,100,100.0,0.05,0.3,0.7,0.1,0.1,1275.0,1276.55,1316.0,0.124
1000,500,100.0,0.05,0.3,0.7,0.1,0.1,1156.0,1162.17,2722.0,0.434
1000,1000,100.0,0.05,0.3,0.7,0.1,0.1,1143.0,1150.735,2292.0,0.708
5000,100,100.0,0.05,0.3,0.7,0.1,0.1,1141.0,1142.31,1189.0,0.618
5000,500,100.0,0.05,0.3,0.7,0.1,0.1,1139.0,1140.25,1202.0,2.151
5000,1000,100.0,0.05,0.3,0.7,0.1,0.1,1138.0,1140.228,1215.0,3.487
100,100,100.0,0.1,0.3,0.7,0.1,0.1,1982.0,2076.55,2558.0,0.018
100,500,100.0,0.1,0.3,0.7,0.1,0.1,2101.0,2291.498,2868.0,0.049
100,1000,100.0,0.1,0.3,0.7,0.1,0.1,2114.0,2351.006,3251.0,0.078
500,100,100.0,0.1,0.3,0.7,0.1,0.1,1363.0,1372.66,1754.0,0.062
500,500,100.0,0.1,0.3,0.7,0.1,0.1,1306.0,1318.302,2401.0,0.217
500,1000,100.0,0.1,0.3,0.7,0.1,0.1,1299.0,1331.042,2514.0,0.376
1000,100,100.0,0.1,0.3,0.7,0.1,0.1,1257.0,1265.37,1383.0,0.132
1000,500,100.0,0.1,0.3,0.7,0.1,0.1,1172.0,1180.646,2064.0,0.424
1000,1000,100.0,0.1,0.3,0.7,0.1,0.1,1134.0,1142.291,2160.0,0.722
5000,100,100.0,0.1,0.3,0.7,0.1,0.1,1129.0,1131.34,1191.0,0.621
5000,500,100.0,0.1,0.3,0.7,0.1,0.1,1145.0,1148.424,1219.0,2.149
5000,1000,100.0,0.1,0.3,0.7,0.1,0.1,1132.0,1135.244,1199.0,3.52
100,100,1000.0,0.01,0.3,0.7,0.1,0.01,1990.0,2046.05,2363.0,0.015
100,500,1000.0,0.01,0.3,0.7,0.1,0.01,1851.0,1975.536,2686.0,0.048
100,1000,1000.0,0.01,0.3,0.7,0.1,0.01,2075.0,2182.832,3006.0,0.076
500,100,1000.0,0.01,0.3,0.7,0.1,0.01,1549.0,1549.58,1607.0,0.062
500,500,1000.0,0.01,0.3,0.7,0.1,0.01,1384.0,1400.65,1734.0,0.233
500,1000,1000.0,0.01,0.3,0.7,0.1,0.01,1322.0,1347.771,2502.0,0.353
1000,100,1000.0,0.01,0.3,0.7,0.1,0.01,1479.0,1479.48,1527.0,0.124
1000,500,1000.0,0.01,0.3,0.7,0.1,0.01,1264.0,1264.526,1334.0,0.445
1000,1000,1000.0,0.01,0.3,0.7,0.1,0.01,1206.0,1206.473,1274.0,0.706
5000,100,1000.0,0.01,0.3,0.7,0.1,0.01,1195.0,1195.39,1234.0,0.621
5000,500,1000.0,0.01,0.3,0.7,0.1,0.01,1122.0,1122.146,1159.0,2.133
5000,1000,1000.0,0.01,0.3,0.7,0.1,0.01,1138.0,1138.304,1189.0,3.526
100,100,1000.0,0.05,0.3,0.7,0.1,0.01,1981.0,2049.94,2452.0,0.012
100,500,1000.0,0.05,0.3,0.7,0.1,0.01,2048.0,2187.616,3016.0,0.047
100,1000,1000.0,0.05,0.3,0.7,0.1,0.01,2130.0,2377.77,3354.0,0.078
500,100,1000.0,0.05,0.3,0.7,0.1,0.01,1467.0,1468.85,1515.0,0.062
500,500,1000.0,0.05,0.3,0.7,0.1,0.01,1289.0,1387.51,2910.0,0.216
500,1000,1000.0,0.05,0.3,0.7,0.1,0.01,1286.0,1308.824,2625.0,0.357
1000,100,1000.0,0.05,0.3,0.7,0.1,0.01,1305.0,1307.12,1365.0,0.124
1000,500,1000.0,0.05,0.3,0.7,0.1,0.01,1177.0,1178.906,1246.0,0.439
1000,1000,1000.0,0.05,0.3,0.7,0.1,0.01,1151.0,1157.208,1894.0,0.721
